Food,Men,Women
Total fruit,86.2,88.26
"Apples, Total",89.01,89.66
Apples as fruit,89.18,90.42
Apple juice,88.78,88.42
Bananas,95.42,94.18
Berries,84.21,81.73
Grapes,88.79,88.13
Melons,80.74,84.96
"Oranges, Total",85.66,89.77
Oranges as fruit,92.31,93.96
Orange juice,85.15,89.42
Other citrus fruit,79.82,80.64
Stone fruit,88.95,89.55
Tropical fruit,74.61,80.4
"Vegetables, Total",62.44,67.44
"Brassica, Total",66.24,73.3
Broccoli and cauliflower,68.46,75.67
Carrots,73.27,76.05
Celery,68.16,68.97
Cucumbers,64.37,69.19
Green Peas,77.79,80.08
"Leafy vegetable, Total",54.05,60.95
Lettuce,50.0,55.87
Onions,58.5,62.4
Peppers,57.7,62.32
Tomatoes,66.53,70.04
Sweet corn,79.09,79.63
Potatoes,51.69,57.55
Snap beans,75.1,77.46
Legumes dried,71.59,73.18
"Dairy, Total",79.49,83.69
"Fluid milk, Total",82.57,86.69
"Fluid milk, 1 percent fat",90.85,90.7
"Fluid milk, 2 percent fat",89.02,89.17
"Fluid milk, Skim",76.3,85.49
"Fluid Milk, Whole",79.41,84.49
Butter,65.97,70.66
Cheese,57.47,62.24
Yogurt,89.68,88.22
"Dairy, Other",66.56,65.48
"Meat, poultry, and fish, Total",59.88,64.21
"Meat, Total",60.75,67.29
Beef,56.47,65.38
Pork,70.2,71.61
"Poultry, Total",60.42,61.78
Chicken,57.23,59.5
Turkey,76.26,74.99
Finfish and shellfish,52.44,57.58
Eggs,68.26,71.02
"Grains, Total",69.26,73.2
Corn flour,77.3,77.67
Oat flour,94.99,95.55
Rice dried,72.76,74.5
Wheat flour,66.61,71.16
"Fat and oils, Total",58.7,62.46
Margarine,72.76,76.41
Salad and cooking oils,58.82,61.23
Shortening,55.52,57.86
"Oils, Other",24.14,34.84
Caloric sweeteners,64.78,70.44
"Nuts, Total",82.17,79.47
Peanuts,83.38,82.6
Tree nuts,77.41,72.19
