Food,Men,Women
Total fruit,85.97,87.19
"Apples, Total",90.02,89.51
Apples as fruit,90.86,91.21
Apple juice,88.91,87.75
Bananas,94.85,94.57
Berries,88.57,88.29
Grapes,88.55,90.14
Melons,79.72,80.99
"Oranges, Total",84.46,88.07
Oranges as fruit,94.62,92.33
Orange juice,83.92,87.74
Other citrus fruit,73.74,69.6
Stone fruit,94.02,87.94
Tropical fruit,74.58,85.85
"Vegetables, Total",59.68,62.43
"Brassica, Total",63.15,70.87
Broccoli and cauliflower,61.31,73.21
Carrots,73.81,76.19
Celery,67.21,69.83
Cucumbers,61.38,72.42
Green Peas,82.76,76.75
"Leafy vegetable, Total",57.12,59.77
Lettuce,52.68,54.95
Onions,54.19,55.5
Peppers,49.89,48.32
Tomatoes,58.14,62.07
Sweet corn,83.25,76.31
Potatoes,52.96,53.45
Snap beans,69.66,73.99
Legumes dried,65.02,71.21
"Dairy, Total",83.96,84.7
"Fluid milk, Total",88.83,88.92
"Fluid milk, 1 percent fat",91.85,90.62
"Fluid milk, 2 percent fat",90.82,93.39
"Fluid milk, Skim",87.47,87.56
"Fluid Milk, Whole",86.84,84.35
Butter,74.0,72.57
Cheese,56.3,59.72
Yogurt,87.12,90.57
"Dairy, Other",73.48,69.77
"Meat, poultry, and fish, Total",58.84,60.23
"Meat, Total",61.87,63.97
Beef,57.28,59.79
Pork,70.89,71.83
"Poultry, Total",54.42,54.64
Chicken,50.59,51.6
Turkey,76.52,72.63
Finfish and shellfish,56.29,62.11
Eggs,67.95,71.92
"Grains, Total",66.26,69.13
Corn flour,76.27,75.63
Oat flour,96.84,96.3
Rice dried,66.86,75.59
Wheat flour,62.93,65.05
"Fat and oils, Total",57.99,59.29
Margarine,67.07,69.86
Salad and cooking oils,56.01,55.2
Shortening,50.7,52.82
"Oils, Other",80.81,86.81
Caloric sweeteners,71.03,70.71
"Nuts, Total",87.53,87.82
Peanuts,85.43,87.04
Tree nuts,92.25,89.34
