Food,Men,Women
Total fruit,87.58,88.85
"Apples, Total",91.33,89.72
Apples as fruit,89.7,91.5
Apple juice,93.0,87.77
Bananas,95.59,93.67
Berries,91.83,90.92
Grapes,93.65,91.33
Melons,80.85,93.57
"Oranges, Total",86.0,88.86
Oranges as fruit,94.49,93.15
Orange juice,85.52,88.42
Other citrus fruit,72.95,75.13
Stone fruit,93.05,89.61
Tropical fruit,76.94,76.57
"Vegetables, Total",60.02,65.72
"Brassica, Total",65.82,73.08
Broccoli and cauliflower,67.18,76.27
Carrots,78.72,76.57
Celery,70.28,73.15
Cucumbers,63.65,74.76
Green Peas,77.84,78.27
"Leafy vegetable, Total",56.6,59.39
Lettuce,52.04,52.65
Onions,54.41,60.16
Peppers,47.33,55.48
Tomatoes,60.03,66.28
Sweet corn,78.53,85.08
Potatoes,51.79,54.95
Snap beans,66.74,74.87
Legumes dried,63.36,67.51
"Dairy, Total",83.4,85.7
"Fluid milk, Total",88.61,89.69
"Fluid milk, 1 percent fat",91.1,93.39
"Fluid milk, 2 percent fat",92.91,93.25
"Fluid milk, Skim",86.32,87.21
"Fluid Milk, Whole",84.34,86.18
Butter,77.54,79.72
Cheese,54.56,63.35
Yogurt,94.38,94.82
"Dairy, Other",69.41,65.94
"Meat, poultry, and fish, Total",58.1,61.41
"Meat, Total",61.08,63.71
Beef,57.83,59.78
Pork,66.85,70.89
"Poultry, Total",51.3,55.78
Chicken,49.01,52.01
Turkey,68.89,81.84
Finfish and shellfish,63.19,69.75
Eggs,67.64,68.34
"Grains, Total",65.14,69.35
Corn flour,72.97,76.98
Oat flour,94.93,96.32
Rice dried,68.08,72.8
Wheat flour,61.62,65.37
"Fat and oils, Total",57.57,60.81
Margarine,69.37,67.06
Salad and cooking oils,54.92,60.03
Shortening,51.85,50.11
"Oils, Other",81.99,84.79
Caloric sweeteners,69.34,72.32
"Nuts, Total",90.37,89.32
Peanuts,91.93,91.53
Tree nuts,86.67,85.89
